xflr5,v6.57

Calculated,polar,for:,KC-135,Winglet,(supercritical,Whitcomb)

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.050,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-10.000,-0.4427,0.12373,0.11642,-0.0185,1.0000,0.1673,-1.2517,0.0000,0.0000,0.0000,0.2034
-9.750,-0.4563,0.12393,0.11675,-0.0215,1.0000,0.1733,-1.3168,0.0000,0.0000,0.0000,0.1986
-9.500,-0.4766,0.12513,0.11811,-0.0248,1.0000,0.1748,-1.4006,0.0000,0.0000,0.0000,0.1941
-9.250,-0.4365,0.11607,0.10898,-0.0205,1.0000,0.1913,-1.2675,0.0000,0.0000,0.0000,0.1988
-9.000,-0.4554,0.11949,0.11259,-0.0229,1.0000,0.1976,-1.3315,0.0000,0.0000,0.0000,0.1960
-8.750,-0.4748,0.12284,0.11613,-0.0257,1.0000,0.1998,-1.3957,0.0000,0.0000,0.0000,0.1926
-8.500,-0.4146,0.10460,0.09768,-0.0185,1.0000,0.2257,-1.1721,0.0000,0.0000,0.0000,0.2011
-8.250,-0.4189,0.10345,0.09663,-0.0187,1.0000,0.2391,-1.1726,0.0000,0.0000,0.0000,0.2015
-8.000,-0.4470,0.10647,0.09989,-0.0191,1.0000,0.2467,-1.2458,0.0000,0.0000,0.0000,0.2040
-7.750,-0.4685,0.10999,0.10359,-0.0253,1.0000,0.2499,-1.3328,0.0000,0.0000,0.0000,0.1935
-7.500,-0.4061,0.09400,0.08743,-0.0153,1.0000,0.2803,-1.0533,0.0000,0.0000,0.0000,0.2088
-7.250,-0.4297,0.09527,0.08890,-0.0137,1.0000,0.2936,-1.0971,0.0000,0.0000,0.0000,0.2151
-6.750,-0.4074,0.08731,0.08092,-0.0090,1.0000,0.3344,-0.9734,0.0000,0.0000,0.0000,0.2248
-6.250,-0.4023,0.08251,0.07631,-0.0032,1.0000,0.3833,-0.9405,0.0000,0.0000,0.0000,0.2392
-6.000,-0.4217,0.08152,0.07552,-0.0002,1.0000,0.4088,-0.9585,0.0000,0.0000,0.0000,0.2469
-5.750,-0.4185,0.08175,0.07582,0.0039,1.0000,0.4456,-0.9348,0.0000,0.0000,0.0000,0.2568
-5.500,-0.3895,0.07659,0.07064,0.0085,1.0000,0.4904,-0.8795,0.0000,0.0000,0.0000,0.2690
-5.250,-0.3749,0.07330,0.06739,0.0130,1.0000,0.5467,-0.8466,0.0000,0.0000,0.0000,0.2818
-5.000,-0.3657,0.07157,0.06573,0.0178,1.0000,0.5987,-0.8235,0.0000,0.0000,0.0000,0.2957
-4.750,-0.3523,0.06946,0.06367,0.0217,1.0000,0.6498,-0.8008,0.0000,0.0000,0.0000,0.3088
-4.250,-0.3050,0.04718,0.04056,-0.0527,1.0000,0.2604,-1.1806,0.0000,0.0000,0.0000,0.0754
-4.000,-0.3529,0.05195,0.04619,-0.0243,1.0000,0.3726,-1.0334,0.0000,0.0000,0.0000,0.1798
-3.750,-0.3880,0.05680,0.05142,0.0049,1.0000,0.5069,-0.9377,0.0000,0.0000,0.0000,0.2610
-3.500,-0.1364,0.03372,0.02385,-0.0743,1.0000,0.1017,-1.4166,0.0000,0.0000,0.0000,-0.2991
-3.250,-0.1057,0.03143,0.02134,-0.0750,1.0000,0.0960,-1.3771,0.0000,0.0000,0.0000,-0.4647
-3.000,-0.0738,0.02937,0.01898,-0.0757,1.0000,0.0906,-1.3400,0.0000,0.0000,0.0000,-0.7828
-2.750,-0.0435,0.02787,0.01699,-0.0756,1.0000,0.0873,-1.2861,0.0000,0.0000,0.0000,-1.5008
-2.500,-0.0163,0.02672,0.01560,-0.0748,1.0000,0.0840,-1.2506,0.0000,0.0000,0.0000,-4.3569
-2.250,0.0089,0.02580,0.01454,-0.0735,1.0000,0.0820,-1.2081,0.0000,0.0000,0.0000,8.5621
-2.000,0.0352,0.02502,0.01361,-0.0726,1.0000,0.0813,-1.1580,0.0000,0.0000,0.0000,2.3233
-1.750,0.0653,0.02430,0.01275,-0.0729,1.0000,0.0822,-1.0998,0.0000,0.0000,0.0000,1.3706
-1.500,0.0987,0.02367,0.01196,-0.0742,1.0000,0.0859,-1.0373,0.0000,0.0000,0.0000,1.0042
-1.250,0.1335,0.02319,0.01130,-0.0758,1.0000,0.0946,-0.9801,0.0000,0.0000,0.0000,0.8197
-1.000,0.1767,0.02084,0.01147,-0.0787,1.0000,0.7008,-0.9513,0.0000,0.0000,0.0000,0.6964
-0.750,0.1704,0.02090,0.01179,-0.0694,1.0000,0.8391,-0.9558,0.0000,0.0000,0.0000,0.6579
-0.500,0.1589,0.02035,0.01133,-0.0600,1.0000,0.9312,-0.9536,0.0000,0.0000,0.0000,0.6282
-0.250,0.1667,0.02031,0.01111,-0.0570,1.0000,1.0000,-0.9224,0.0000,0.0000,0.0000,0.5923
0.000,0.1979,0.02074,0.01117,-0.0587,1.0000,1.0000,-0.8164,0.0000,0.0000,0.0000,0.5462
0.250,0.2284,0.02121,0.01138,-0.0603,1.0000,1.0000,-0.6819,0.0000,0.0000,0.0000,0.5134
0.500,0.2581,0.02171,0.01169,-0.0618,1.0000,1.0000,-0.5380,0.0000,0.0000,0.0000,0.4887
0.750,0.2870,0.02226,0.01209,-0.0633,1.0000,1.0000,-0.4629,0.0000,0.0000,0.0000,0.4693
1.000,0.3152,0.02285,0.01258,-0.0646,1.0000,1.0000,-0.5137,0.0000,0.0000,0.0000,0.4536
1.250,0.3426,0.02349,0.01317,-0.0659,1.0000,1.0000,-0.5695,0.0000,0.0000,0.0000,0.4406
1.500,0.3693,0.02417,0.01384,-0.0670,1.0000,1.0000,-0.6252,0.0000,0.0000,0.0000,0.4296
1.750,0.3952,0.02491,0.01461,-0.0681,1.0000,1.0000,-0.6807,0.0000,0.0000,0.0000,0.4203
2.000,0.4203,0.02571,0.01558,-0.0691,1.0000,1.0000,-0.7363,0.0000,0.0000,0.0000,0.4122
2.250,0.4448,0.02657,0.01649,-0.0701,1.0000,1.0000,-0.7947,0.0000,0.0000,0.0000,0.4051
2.500,0.4686,0.02750,0.01749,-0.0710,1.0000,1.0000,-0.8578,0.0000,0.0000,0.0000,0.3989
2.750,0.4915,0.02853,0.01859,-0.0719,1.0000,1.0000,-0.9205,0.0000,0.0000,0.0000,0.3935
3.000,0.5134,0.02966,0.01983,-0.0729,1.0000,1.0000,-0.9823,0.0000,0.0000,0.0000,0.3888
3.250,0.5343,0.03091,0.02121,-0.0738,1.0000,1.0000,-1.0426,0.0000,0.0000,0.0000,0.3848
3.500,0.6079,0.03179,0.02240,-0.0837,0.9675,1.0000,-1.1868,0.0000,0.0000,0.0000,0.3842
3.750,0.7251,0.03013,0.02128,-0.0964,0.9034,1.0000,-1.4166,0.0000,0.0000,0.0000,0.3794
4.000,0.8102,0.02691,0.01891,-0.1004,0.8486,1.0000,-1.6734,0.0000,0.0000,0.0000,0.3702
4.250,0.8599,0.02351,0.01601,-0.0968,0.7792,1.0000,-1.9038,0.0000,0.0000,0.0000,0.3588
4.500,0.8850,0.02233,0.01255,-0.0858,0.4026,1.0000,-2.0557,0.0000,0.0000,0.0000,0.3429
4.750,0.9075,0.02530,0.01454,-0.0845,0.3033,1.0000,-2.1590,0.0000,0.0000,0.0000,0.3389
5.000,0.9377,0.02712,0.01627,-0.0846,0.2610,1.0000,-2.2931,0.0000,0.0000,0.0000,0.3357
5.250,0.9718,0.02930,0.01851,-0.0852,0.2347,1.0000,-2.4281,0.0000,0.0000,0.0000,0.3330
5.500,1.0025,0.03134,0.02087,-0.0852,0.2166,1.0000,-2.5689,0.0000,0.0000,0.0000,0.3301
5.750,1.0329,0.03560,0.02530,-0.0856,0.2015,1.0000,-2.6845,0.0000,0.0000,0.0000,0.3278
6.000,1.0575,0.03751,0.02751,-0.0847,0.1868,1.0000,-2.7764,0.0000,0.0000,0.0000,0.3248
6.250,1.0811,0.04011,0.03005,-0.0841,0.1713,1.0000,-2.8670,0.0000,0.0000,0.0000,0.3222
6.500,1.1032,0.04241,0.03255,-0.0830,0.1553,1.0000,-2.9280,0.0000,0.0000,0.0000,0.3194
6.750,1.1195,0.04527,0.03572,-0.0816,0.1391,1.0000,-2.9691,0.0000,0.0000,0.0000,0.3168
7.000,1.1395,0.04848,0.03907,-0.0805,0.1297,1.0000,-3.0089,0.0000,0.0000,0.0000,0.3144
7.250,1.1542,0.05409,0.04490,-0.0796,0.1254,1.0000,-3.0114,0.0000,0.0000,0.0000,0.3125
7.500,1.1634,0.05909,0.05042,-0.0777,0.1241,1.0000,-2.9747,0.0000,0.0000,0.0000,0.3101
7.750,1.1705,0.06410,0.05593,-0.0759,0.1240,1.0000,-2.9627,0.0000,0.0000,0.0000,0.3080
8.000,1.1764,0.07027,0.06244,-0.0746,0.1248,1.0000,-2.9610,0.0000,0.0000,0.0000,0.3064
8.250,1.1755,0.07332,0.06622,-0.0719,0.1279,1.0000,-2.9206,0.0000,0.0000,0.0000,0.3041
8.500,1.1393,0.08029,0.07392,-0.0697,0.1347,1.0000,-2.7229,0.0000,0.0000,0.0000,0.3040
8.750,1.1152,0.08680,0.08069,-0.0689,0.1393,1.0000,-2.6186,0.0000,0.0000,0.0000,0.3046
9.000,1.0960,0.09288,0.08687,-0.0685,0.1434,1.0000,-2.5478,0.0000,0.0000,0.0000,0.3051
9.250,1.1187,0.10790,0.10197,-0.0727,0.1746,1.0000,-2.4635,0.0000,0.0000,0.0000,0.3076
9.500,1.0632,0.11164,0.10579,-0.0736,0.1735,1.0000,-2.3072,0.0000,0.0000,0.0000,0.3117
9.750,0.9740,0.13912,0.13323,-0.1069,0.3062,1.0000,-1.6751,0.0000,0.0000,0.0000,0.3524
10.000,1.0065,0.15465,0.14883,-0.1053,0.2993,1.0000,-1.7154,0.0000,0.0000,0.0000,0.3472
10.250,0.9445,0.14841,0.14236,-0.1106,0.2898,1.0000,-1.5896,0.0000,0.0000,0.0000,0.3592
10.500,0.9347,0.15124,0.14515,-0.1123,0.2778,1.0000,-1.5571,0.0000,0.0000,0.0000,0.3620
10.750,0.9401,0.15549,0.14942,-0.1126,0.2681,1.0000,-1.5556,0.0000,0.0000,0.0000,0.3614
11.000,0.9596,0.16089,0.15489,-0.1114,0.2595,1.0000,-1.5962,0.0000,0.0000,0.0000,0.3575
11.250,1.0113,0.18102,0.17516,-0.1069,0.2497,1.0000,-1.7245,0.0000,0.0000,0.0000,0.3471
11.500,0.9997,0.18289,0.17699,-0.1097,0.2488,1.0000,-1.6797,0.0000,0.0000,0.0000,0.3508
11.750,0.9696,0.17942,0.17339,-0.1143,0.2452,1.0000,-1.5863,0.0000,0.0000,0.0000,0.3585
12.000,0.9494,0.17814,0.17203,-0.1182,0.2342,1.0000,-1.5195,0.0000,0.0000,0.0000,0.3648
12.250,0.9508,0.18142,0.17531,-0.1197,0.2251,1.0000,-1.5152,0.0000,0.0000,0.0000,0.3658
12.500,0.9586,0.18549,0.17941,-0.1202,0.2174,1.0000,-1.5337,0.0000,0.0000,0.0000,0.3650
12.750,0.9736,0.19066,0.18464,-0.1197,0.2107,1.0000,-1.5787,0.0000,0.0000,0.0000,0.3624
13.000,1.0032,0.19983,0.19393,-0.1171,0.2045,1.0000,-1.7857,0.0000,0.0000,0.0000,0.3559
13.250,1.0196,0.21735,0.21148,-0.1165,0.1992,1.0000,-1.9142,0.0000,0.0000,0.0000,0.3533
13.500,1.0010,0.21212,0.20615,-0.1213,0.1965,1.0000,-1.8093,0.0000,0.0000,0.0000,0.3598
13.750,0.9867,0.20814,0.20211,-0.1261,0.1897,1.0000,-1.7250,0.0000,0.0000,0.0000,0.3659
14.000,0.9915,0.21064,0.20462,-0.1277,0.1832,1.0000,-1.7818,0.0000,0.0000,0.0000,0.3666
14.250,1.0118,0.21750,0.21158,-0.1267,0.1777,1.0000,-1.9617,0.0000,0.0000,0.0000,0.3627
14.500,1.0372,0.23048,0.22464,-0.1247,0.1744,1.0000,-2.1667,0.0000,0.0000,0.0000,0.3575
14.750,1.0181,0.22701,0.22106,-0.1309,0.1727,1.0000,-2.0186,0.0000,0.0000,0.0000,0.3654
15.000,1.0104,0.22618,0.22018,-0.1354,0.1673,1.0000,-1.9551,0.0000,0.0000,0.0000,0.3704


